              Time            PeakLoc         PeakHeight          PeakWidth
         3.548e+05           1.83e+01           2.95e-02           2.85e-01
         3.548e+05           2.02e+01           7.50e-02           3.63e-01
         3.548e+05           2.55e+01           7.30e-02           3.56e-01
         3.548e+05           2.75e+01           3.78e-02           2.65e-01
         3.548e+05           3.02e+01           6.72e-02           3.37e-01
         3.548e+05           3.26e+01           6.47e-02           3.29e-01
         3.548e+05           3.52e+01           5.06e-02           2.88e-01
         3.548e+05           3.68e+01           5.51e-02           3.00e-01
         3.548e+05           3.82e+01           5.09e-02           2.88e-01
         3.548e+05           4.02e+01           9.93e-02           4.47e-01
         3.548e+05           4.26e+01           9.93e-02           4.47e-01
         3.548e+05           4.45e+01           5.09e-02           2.88e-01
         3.548e+05           4.60e+01           5.51e-02           3.00e-01
         3.548e+05           4.75e+01           5.06e-02           2.88e-01
         3.548e+05           5.01e+01           6.47e-02           3.29e-01
         3.548e+05           5.25e+01           6.72e-02           3.37e-01
         3.548e+05           5.53e+01           3.78e-02           2.65e-01
         3.548e+05           5.72e+01           7.30e-02           3.56e-01
         3.548e+05           6.25e+01           7.50e-02           3.63e-01
         3.548e+05           6.44e+01           2.95e-02           2.85e-01
